hue,saturation,lightness
173.76623,0.84615,0.17843
251.21495,1.00000,0.58039
81.45078,0.94146,0.59804
123.42857,0.58333,0.47059
97.56098,0.51037,0.52745
318.84615,0.63415,0.48235
6.66667,0.04147,0.42549
298.56000,0.59809,0.59020
125.96859,0.82684,0.54706
71.28713,0.74815,0.73529
264.33333,0.92784,0.38039
228.78505,0.90678,0.46275
189.37500,0.57143,0.10980
237.65854,0.86498,0.46471
277.71429,0.35354,0.80588
7.00000,0.92784,0.38039
135.69231,0.34031,0.37451
112.92135,0.91753,0.38039
134.81013,0.79798,0.61176
339.09091,0.76744,0.16863
90.47619,0.31034,0.39804
253.92857,0.95726,0.54118
60.53333,0.97403,0.45294
36.71642,0.30317,0.43333
308.57143,0.26168,0.41961
50.71823,0.90955,0.60980
2.63736,0.66423,0.73137
26.66667,0.06667,0.73529
63.52941,0.64151,0.58431
116.58228,0.81443,0.61961
108.57143,0.09091,0.45294
42.68041,0.72932,0.73922
121.22449,0.63636,0.84902
260.27027,0.62712,0.23137
197.69784,0.55378,0.50784
117.87879,0.83193,0.46667
167.26415,0.92982,0.44706
341.31148,0.52137,0.22941
216.22642,0.28649,0.36275
192.51534,0.69362,0.46078
339.58763,0.38956,0.51176
82.75862,0.44615,0.61765
263.18182,0.67692,0.74510
39.37500,0.87273,0.21569
129.79592,0.26486,0.36275
98.86364,0.48889,0.64706
170.05525,0.73279,0.48431
66.66667,0.63780,0.75098
120.72289,0.40097,0.40588
296.97479,0.95200,0.24510
21.17647,0.76884,0.39020
52.09756,0.87983,0.45686
274.37500,0.55172,0.34118
287.43243,0.66667,0.56471
163.63636,0.47826,0.27059
125.82524,0.43830,0.53922
187.05882,0.72512,0.58627
37.50000,0.70588,0.26667
51.96429,0.50000,0.43922
29.76378,0.52263,0.47647
106.87500,0.44444,0.14118
267.09677,1.00000,0.69608
108.18182,0.52381,0.50588
195.00000,0.43478,0.36078
122.24299,0.47556,0.44118
3.75000,0.16667,0.81176
189.47368,0.53073,0.35098
190.00000,0.46667,0.35294
319.31034,0.94565,0.36078
339.41606,0.60889,0.55882
63.91304,0.43396,0.41569
252.41379,0.64444,0.82353
292.28571,0.39773,0.34510
330.44335,0.94419,0.42157
312.85714,0.80769,0.89804
106.81614,0.90283,0.51569
317.14286,0.48837,0.83137
143.45455,0.47009,0.45882
344.40678,0.80090,0.56667
120.00000,0.94828,0.45490
141.60000,1.00000,0.85294
205.26316,0.39749,0.53137
340.00000,0.46154,0.20392
298.16327,0.44954,0.57255
56.59574,0.89809,0.30784
203.03571,0.80000,0.27451
226.19048,0.75000,0.32941
293.22581,0.31000,0.60784
230.25641,0.87970,0.26078
249.71429,0.60000,0.65686
111.37500,0.93023,0.66275
310.74627,0.55372,0.52549
234.00000,0.37879,0.74118
51.92982,0.68675,0.48824
167.05882,0.47664,0.79020
2.55319,0.40870,0.77451
280.48780,0.69492,0.34706
288.49741,0.78138,0.48431
216.99248,0.61860,0.42157
235.10204,0.70000,0.72549
268.47458,0.93651,0.12353
317.14286,0.95595,0.44510
341.93878,0.96078,0.60000
227.58621,0.14872,0.38235
256.70103,0.87387,0.78235
111.21951,0.21693,0.37059
330.00000,0.05882,0.73333
63.24324,0.23871,0.69608
121.72249,1.00000,0.40980
131.50000,0.47244,0.49804
186.42857,0.40000,0.72549
244.37500,0.72727,0.74118
219.88235,0.78704,0.57647
277.02857,0.70281,0.48824
329.55224,0.26908,0.51176
291.76471,0.25123,0.39804
314.41341,0.98895,0.35490
57.21854,0.96178,0.69216
333.41317,0.85641,0.38235
298.92857,0.41176,0.73333
295.71429,0.54310,0.45490
40.69565,0.95041,0.76275
10.38462,0.46429,0.21961
190.80745,0.94152,0.66471
348.59729,0.94850,0.45686
249.37500,0.21333,0.29412
121.81818,0.14932,0.43333
245.90674,0.94146,0.40196
244.10959,0.97333,0.14706
287.19101,0.80180,0.78235
106.36364,0.82500,0.52941
270.76923,0.46988,0.48824
214.05405,0.22424,0.32353
302.85714,0.52500,0.52941
344.00000,0.48387,0.93922
188.85714,0.86066,0.52157
249.92481,0.83648,0.68824
355.92233,0.98095,0.58824
155.55556,0.75701,0.58039
306.31579,0.46341,0.24118
145.10204,0.85965,0.77647
126.26866,0.73626,0.17843
188.02817,0.61739,0.45098
101.81818,1.00000,0.61176
279.20455,0.73333,0.47059
212.72727,0.97279,0.71176
240.59406,0.87826,0.45098
1.62162,0.84733,0.25686
19.33054,0.95219,0.50784
221.53846,0.44068,0.53725
52.84974,0.97970,0.61373
14.11765,0.47486,0.64902
231.07143,0.94382,0.34902
139.60000,0.69444,0.42353
11.42857,0.90323,0.36471
172.94118,0.10559,0.31569
55.33333,0.36290,0.48627
336.42857,0.83051,0.46275
225.25424,0.64130,0.63922
82.89855,0.93665,0.43333
326.82692,0.86667,0.52941
120.68966,0.96667,0.64706
142.22222,0.54656,0.51569
131.00000,0.73171,0.16078
220.85890,0.88108,0.63725
179.03226,0.69663,0.34902
31.74603,0.76518,0.51569
284.02878,0.69154,0.60588
95.90164,0.74390,0.32157
258.62069,0.99145,0.45882
153.46154,0.81250,0.87451
55.90909,0.80000,0.56863
65.35714,0.22764,0.51765
83.18182,0.41121,0.41961
248.94410,0.76303,0.41373
22.59740,0.40314,0.37451
95.50459,0.97321,0.43922
108.51064,0.60256,0.69412
176.86567,0.54032,0.48627
179.23077,0.33051,0.53725
103.39806,0.95370,0.42353
149.24051,0.65833,0.52941
249.20245,0.82741,0.61373
78.88112,0.65297,0.42941
280.00000,0.85520,0.43333
250.67797,0.66292,0.65098
221.48148,0.97590,0.67451
310.85106,0.79661,0.23137
289.91150,0.71975,0.30784
256.66667,0.49091,0.43137
29.44444,0.94737,0.22353
337.02128,0.57551,0.51961
83.14286,0.28226,0.48627
255.13514,0.64912,0.66471
48.19149,0.83929,0.56078
264.62687,0.72043,0.36471
291.87500,0.94118,0.80000
324.06417,0.81659,0.44902
334.88372,0.55128,0.30588
332.06897,0.58586,0.38824
119.31818,0.78571,0.43922
212.67857,0.77778,0.71765
148.20513,0.51092,0.44902
175.23810,0.64948,0.61961
351.56250,0.56637,0.44314
129.81818,0.84615,0.12745
316.90141,1.00000,0.58235
211.11111,0.18881,0.71961
255.57252,0.54812,0.46863
3.07692,0.50215,0.54314
130.37594,0.79641,0.67255
150.36145,0.34156,0.47647
77.70492,0.71765,0.66667
338.04878,0.58571,0.72549
243.50365,0.98561,0.27255
2.00000,0.57692,0.40784
146.66667,0.39130,0.68431
233.68421,0.80000,0.37255
30.44776,0.89333,0.44118
300.91603,0.62085,0.58627
351.60000,0.21930,0.55294
88.07339,0.73154,0.70784
182.33766,0.92771,0.16275
342.43902,0.94470,0.57451
336.25000,0.30380,0.69020
351.29032,0.86111,0.42353
174.80769,0.51485,0.60392
27.36842,0.90476,0.62941
296.04790,0.81463,0.59804
74.75410,0.93846,0.38235
212.35294,0.49038,0.40784
141.29032,0.53757,0.33922
69.23077,0.88048,0.50784
315.00000,0.03636,0.43137
199.79381,0.46860,0.40588
246.90909,0.69038,0.46863
283.98058,0.96262,0.58039
224.08163,0.23445,0.59020
215.78947,0.43511,0.74314
0.00000,0.92558,0.57843
148.20000,0.52083,0.62353
206.13861,0.58382,0.33922
155.49738,0.95980,0.39020
186.66667,0.63871,0.69608
126.50602,0.38605,0.42157
169.05660,0.84127,0.37059
290.00000,0.35780,0.42745
222.46154,0.65000,0.39216
28.11189,0.84615,0.33137
161.53846,0.36792,0.58431
256.84211,0.51351,0.21765
322.30769,0.80412,0.38039
209.56522,0.90393,0.44902
264.00000,0.21739,0.63922
291.04478,0.67677,0.19412
62.48521,0.68421,0.51569
329.27419,0.98413,0.50588
157.59036,0.87368,0.37255
346.05405,0.80087,0.45294
190.24390,0.82828,0.61176
296.00000,0.19651,0.55098
273.50649,0.38308,0.60588
11.85185,0.88043,0.63922
214.48819,0.55947,0.44510
192.00000,0.13158,0.55294
47.72727,0.88000,0.50980
123.62637,0.97849,0.36471
136.12903,0.65957,0.72353
52.28571,0.79545,0.82745
113.83178,0.46725,0.55098
295.00000,0.12500,0.62353
346.28571,0.42510,0.51569
180.00000,0.46341,0.83922
253.10924,0.65746,0.64510
230.00000,0.44444,0.21176
54.09091,0.97059,0.26667
339.82063,0.97380,0.55098
105.97403,0.30924,0.51176
277.95918,0.35252,0.27255
58.53659,0.69492,0.76863
149.01099,0.96809,0.63137
307.13287,0.95973,0.70784
21.53846,0.73585,0.89608
169.43662,0.61207,0.45490
88.88889,0.87907,0.57843
192.42604,0.66275,0.50000
100.37383,0.70861,0.29608
240.00000,1.00000,0.61176
133.78378,0.32456,0.44706
83.94495,0.93162,0.45882
343.75000,0.19200,0.49020
318.66667,0.91837,0.90392
120.00000,0.63964,0.43529
114.60674,0.40271,0.56667
250.00000,0.93204,0.59608
342.90909,0.82090,0.60588
176.02041,0.94231,0.40784
195.75758,0.40741,0.52353
320.00000,0.90244,0.48235
55.55556,0.53785,0.50784
327.85714,0.52830,0.41569
172.09302,0.63547,0.39804
22.41379,0.85294,0.60000
208.57143,0.79747,0.15490
36.36364,0.49254,0.13137
42.85714,0.16031,0.25686
72.52427,0.81746,0.50588
85.27778,0.99083,0.57255
140.00000,0.64615,0.74510
327.22689,0.51073,0.54314
107.38462,0.80247,0.52353
156.84211,0.95000,0.23529
174.00000,0.13514,0.70980
335.93220,0.78667,0.44118
165.50000,0.53571,0.43922
187.96875,0.55172,0.54510
284.55696,0.97531,0.52353
166.28571,0.19126,0.35882
9.90291,0.97170,0.41569
271.55556,0.88235,0.70000
312.11538,0.88136,0.23137
70.31250,0.60377,0.20784
54.28571,0.14894,0.72353
44.15094,0.60227,0.34510
240.48000,0.64103,0.38235
296.66667,0.45570,0.30980
195.40107,0.77593,0.47255
51.00000,0.36145,0.67451
261.31148,0.77215,0.46471
267.60563,0.93013,0.44902
220.74627,0.67677,0.61176
336.66667,0.40179,0.43922
330.00000,0.39130,0.81961
320.00000,0.76744,0.66275
13.44828,0.40278,0.71765
200.00000,0.39901,0.60196
54.72527,0.57233,0.31176
49.60000,0.70093,0.79020
180.00000,0.36000,0.55882
262.70270,0.82222,0.35294
99.76331,0.92350,0.64118
126.52174,0.20536,0.43922
238.62069,0.94565,0.36078
55.93220,0.56731,0.59216
18.64865,0.34579,0.41961
232.96875,0.61538,0.40784
11.78571,1.00000,0.32941
347.30769,0.99048,0.41176
248.94737,0.97436,0.54118
315.71429,0.17949,0.54118
32.78351,0.82906,0.54118
85.78512,0.57895,0.40980
301.17647,0.60714,0.32941
111.89189,0.73510,0.29608
88.04348,0.46465,0.61176
51.69643,0.96552,0.54510
94.66667,0.57940,0.54314
38.13084,0.47982,0.56275
83.43750,0.60952,0.41176
86.82353,0.38117,0.43725
68.66667,0.93750,0.81176
320.88235,0.96226,0.41569
150.00000,0.93443,0.76078
38.13953,0.70492,0.64118
239.39394,0.96117,0.20196
277.61194,0.82716,0.52353
328.57143,0.81215,0.64510
77.58621,0.24167,0.52941
270.94737,0.96939,0.61569
74.43609,0.53414,0.51176
65.45455,0.82500,0.15686
75.00000,0.73333,0.47059
168.83721,0.65482,0.61373
232.63158,0.52294,0.42745
262.10526,0.20879,0.35686
266.27219,0.68421,0.48431
166.25000,0.60000,0.31373
284.72727,0.69620,0.46471
246.66667,0.36000,0.75490
75.56757,0.92040,0.60588
259.18033,0.93846,0.74510
188.64198,0.98381,0.51569
76.20000,0.90909,0.21569
211.11111,0.87805,0.48235
48.83721,0.95556,0.44118
116.93431,0.71728,0.37451
270.00000,0.35443,0.30980
17.14286,0.61111,0.50588
219.37500,0.25600,0.50980
210.86705,0.84390,0.59804
72.69231,0.38806,0.26275
160.00000,0.30000,0.43137
155.46667,0.90361,0.51176
272.94118,0.86441,0.23137
342.37288,0.89848,0.61373
357.78689,0.96063,0.49804
17.83784,0.52113,0.13922
320.70796,0.86260,0.74314
107.74194,0.86111,0.57647
162.16216,0.96522,0.54902
135.24324,0.85253,0.57451
101.73913,0.56790,0.68235
290.55118,0.68649,0.36275
265.49223,0.82128,0.53922
3.21951,0.82329,0.51176
313.16327,0.80992,0.52549
190.30043,0.95102,0.48039
207.61905,0.57798,0.57255
275.59322,0.64130,0.36078
138.10651,0.88482,0.62549
190.56338,0.68932,0.40392
124.05405,0.35922,0.59608
355.50000,0.21739,0.36078
315.86207,0.50877,0.33529
72.00000,0.43689,0.20196
354.68354,0.65833,0.52941
230.28902,0.76211,0.55490
277.94118,0.73913,0.36078
176.17021,0.27485,0.33529
234.32432,0.83146,0.34902
348.24324,0.63248,0.54118
91.23288,0.51773,0.27647
67.60976,0.94470,0.57451
256.82540,0.79747,0.53529
322.00000,0.28846,0.20392
83.68421,0.74803,0.49804
292.78195,0.52988,0.49216
332.30769,0.92857,0.61569
209.37063,0.98621,0.71569
76.36364,0.26190,0.83529
332.82353,0.83333,0.40000
143.52941,0.85475,0.35098
