hue,saturation,value
173.76623,0.91667,0.32941
251.21495,0.83922,1.00000
81.45078,0.77510,0.97647
123.42857,0.73684,0.74510
97.56098,0.62755,0.76863
318.84615,0.77612,0.78824
6.66667,0.07965,0.44314
298.56000,0.58685,0.83529
125.96859,0.81277,0.92157
71.28713,0.42437,0.93333
264.33333,0.96257,0.73333
228.78505,0.95111,0.88235
189.37500,0.72727,0.17255
237.65854,0.92760,0.86667
277.71429,0.15695,0.87451
7.00000,0.96257,0.73333
135.69231,0.50781,0.50196
112.92135,0.95699,0.72941
134.81013,0.67234,0.92157
339.09091,0.86842,0.29804
90.47619,0.47368,0.52157
253.92857,0.89600,0.98039
60.53333,0.98684,0.89412
36.71642,0.46528,0.56471
308.57143,0.41481,0.52941
50.71823,0.73577,0.96471
2.63736,0.39224,0.90980
26.66667,0.04687,0.75294
63.52941,0.62673,0.85098
116.58228,0.66667,0.92941
108.57143,0.16667,0.49412
42.68041,0.40928,0.92941
121.22449,0.20332,0.94510
260.27027,0.77083,0.37647
197.69784,0.69849,0.78039
117.87879,0.90826,0.85490
167.26415,0.96364,0.86275
341.31148,0.68539,0.34902
216.22642,0.44538,0.46667
192.51534,0.81910,0.78039
339.58763,0.54190,0.70196
82.75862,0.43284,0.78824
263.18182,0.37607,0.91765
39.37500,0.93204,0.40392
129.79592,0.41880,0.45882
98.86364,0.42105,0.81961
170.05525,0.84579,0.83922
66.66667,0.34914,0.90980
120.72289,0.57241,0.56863
296.97479,0.97541,0.47843
21.17647,0.86932,0.69020
52.09756,0.93607,0.85882
274.37500,0.71111,0.52941
287.43243,0.67890,0.85490
163.63636,0.64706,0.40000
125.82524,0.54497,0.74118
187.05882,0.67699,0.88627
37.50000,0.82759,0.45490
51.96429,0.66667,0.65882
29.76378,0.68649,0.72549
106.87500,0.61538,0.20392
267.09677,0.60784,1.00000
108.18182,0.67692,0.76471
195.00000,0.60606,0.51765
122.24299,0.64458,0.65098
3.75000,0.07442,0.84314
189.47368,0.69343,0.53725
190.00000,0.63636,0.51765
319.31034,0.97207,0.70196
339.41606,0.64929,0.82745
63.91304,0.60526,0.59608
252.41379,0.24268,0.93725
292.28571,0.56911,0.48235
330.44335,0.97129,0.81961
312.85714,0.16800,0.98039
106.81614,0.91770,0.95294
317.14286,0.18026,0.91373
143.45455,0.63953,0.67451
344.40678,0.75966,0.91373
120.00000,0.97345,0.88627
141.60000,0.29412,1.00000
205.26316,0.51913,0.71765
340.00000,0.63158,0.29804
298.16327,0.50256,0.76471
56.59574,0.94631,0.58431
203.03571,0.88889,0.49412
226.19048,0.85714,0.57647
293.22581,0.33333,0.72941
230.25641,0.93600,0.49020
249.71429,0.47727,0.86275
111.37500,0.64257,0.97647
310.74627,0.66667,0.78824
234.00000,0.23364,0.83922
51.92982,0.81429,0.82353
167.05882,0.22467,0.89020
2.55319,0.21267,0.86667
280.48780,0.82000,0.58824
288.49741,0.87727,0.86275
216.99248,0.76437,0.68235
235.10204,0.41880,0.91765
268.47458,0.96721,0.23922
317.14286,0.97748,0.87059
341.93878,0.78088,0.98431
227.58621,0.25893,0.43922
256.70103,0.39113,0.97255
111.21951,0.35652,0.45098
330.00000,0.04188,0.74902
63.24324,0.18878,0.76863
121.72249,1.00000,0.81961
131.50000,0.64171,0.73333
186.42857,0.26291,0.83529
244.37500,0.40506,0.92941
219.88235,0.73276,0.90980
277.02857,0.82547,0.83137
329.55224,0.40854,0.64314
291.76471,0.40157,0.49804
314.41341,0.99444,0.70588
57.21854,0.59921,0.98824
333.41317,0.92265,0.70980
298.92857,0.26047,0.84314
295.71429,0.70391,0.70196
40.69565,0.45635,0.98824
10.38462,0.63415,0.32157
190.80745,0.64400,0.98039
348.59729,0.97357,0.89020
249.37500,0.35165,0.35686
121.81818,0.25984,0.49804
245.90674,0.96985,0.78039
244.10959,0.98649,0.29020
287.19101,0.36475,0.95686
106.36364,0.84615,0.91765
270.76923,0.63934,0.71765
214.05405,0.36634,0.39608
302.85714,0.63636,0.77647
344.00000,0.06073,0.96863
188.85714,0.88235,0.93333
249.92481,0.54959,0.94902
355.92233,0.81423,0.99216
155.55556,0.70742,0.89804
306.31579,0.63333,0.35294
145.10204,0.39676,0.96863
126.26866,0.84810,0.30980
188.02817,0.76344,0.72941
101.81818,0.77647,1.00000
279.20455,0.84615,0.81569
212.72727,0.56522,0.99216
240.59406,0.93519,0.84706
1.62162,0.91736,0.47451
19.33054,0.95984,0.97647
221.53846,0.55026,0.74118
52.84974,0.76285,0.99216
14.11765,0.40865,0.81569
231.07143,0.97110,0.67843
139.60000,0.81967,0.71765
11.42857,0.94915,0.69412
172.94118,0.19101,0.34902
